id,question,answer,tags
24,Как подключить внешний датчик давления к SmartTherm32 для удалённого мониторинга?,"На SmartTherm32 можно использовать вход под датчик давления, если он предусмотрен вашей комплектацией и прошивкой. Общий порядок: 1) Уточните тип датчика: аналоговый (0–5 В / 4–20 мА) или цифровой — и совместимость с входом контроллера. 2) На котле часто стоит реле давления, а не аналоговый датчик — тогда показания «давления» на котле могут быть недоступны без замены на датчик и настройки в инженерном меню котла. 3) Подключите датчик по схеме из документации, настройте калибровку/масштаб в интерфейсе SmartTherm. 4) Проверьте отображение в веб-интерфейсе и при необходимости пробросьте в MQTT/HA. Важно: падение давления вместе с ростом температуры может указывать на проблему расширительного бака — при таких симптомах сначала проверьте гидравлику, а не только электронику.",sensors;pressure;smarttherm32;hardware;curated;curated
25,Как правильно подключить провода OpenTherm к котлу и SmartTherm?,"Общие правила подключения OpenTherm: 1) Используйте клеммы OT на котле, указанные в инструкции (часто OT+/OT− или A/B). Полярность смотрите в документации котла и SmartTherm. 2) Кабель: витая пара, без параллельного прокладывания с силовыми линиями 220 В; длина — по возможности короче. 3) Не подключайте 220 В к клеммам комнатного термостата/OT — только интерфейс OpenTherm или сухой контакт, в зависимости от режима. 4) В настройках котла включите режим цифрового термостата/OpenTherm; на SmartTherm выберите тот же режим. 5) После подключения проверьте обмен: статус OT, температура подачи/модуляция (если котёл отдаёт). Если обмен не появляется — см. FAQ про диагностику OpenTherm (провод, дип-переключатель, один мастер на шине). Укажите модель котла для точной схемы.",opentherm;wiring;safety;installation;curated;curated
26,Может там как-то второй контроллер затыкается,"Как работает мой одноконтурный baxi с бкн на 24кВт. Да, действительно, он нагревается до 60 (у меня такая стоит) при этом при приближении к температуре заранее сбавляет модуляцию. Когда температура 60-65, котёл сбрасывает модуляцию в 0%, но не выключает горелку. У меня температура начинает падать и он опять поднимает модуляцию. И так, как ты говоришь, на протяжении 30-40 минут. Но он не тактует. По заявлению производителя на моём котле минимальная модуляция от 9кВт и до 24. Соответственно мне надо чуть больше 9кВт. 24кВт нужно именно для нагрева бойлера и тут расчёт не на ваше желание или хотелки. А всё подбирается в зависимости от мощности (теплосъёма) змеевика в бкн. Выбрали маленький котёл, будет греть долго и не будет успевать нагреть воду при большом расходе, фактически на протоке. Выбрали слишком большой котёл, глубины его модуляции не хватит для снижения в режиме СО и будет тактовать.",baxi;hot_water;cluster;curated;curated
27,а какой у вас котёл?,"Добрый день. Брал ваш контроллер esp32 в прошлом году. Отработал зиму и лето на стоковой прошивке. Отличное решение и лучше не придумать. За что вам отдельная огромная благодарность. Управлял через мини пк по удаленке, на котором висит много чего и охранка пожарка видеонаблюдение, умный дом, солнечный инвертор и прочее, интернет не более 2Мбит/с увеличения нет и не будет, глухомань, но достаточно для удаленке с пк. ХоумАсист для меня сложновато, есть вариант поставить на мини пк, пробовал, не смог осилить, вернул всё назад, сложно для меня. Так вот, какой вопрос. Есть ли какая прошивка, посвежее, чтоб с мобилы управлять и/или чтоб к умному дому привязать (MiJia Hub)???",firmware;hardware;cluster;curated;curated
28,какая версия прошивки?,"Добрый день. Брал ваш контроллер esp32 в прошлом году. Отработал зиму и лето на стоковой прошивке. Отличное решение и лучше не придумать. За что вам отдельная огромная благодарность. Управлял через мини пк по удаленке, на котором висит много чего и охранка пожарка видеонаблюдение, умный дом, солнечный инвертор и прочее, интернет не более 2Мбит/с увеличения нет и не будет, глухомань, но достаточно для удаленке с пк. ХоумАсист для меня сложновато, есть вариант поставить на мини пк, пробовал, не смог осилить, вернул всё назад, сложно для меня. Так вот, какой вопрос. Есть ли какая прошивка, посвежее, чтоб с мобилы управлять и/или чтоб к умному дому привязать (MiJia Hub)???",firmware;hardware;cluster;curated;curated
29,Что бы туда можно было воткнуть любой другой датчик,"Поясните убогому, с чем вы боретесь-то? Константин проводит глубокую аналитическую и практическую работу по замерам помех в линиях питания. Давит помехи. Но у него и так всё нормально работает. С этим БП, шнурком и платой. И эффекта в стабильности работы никакого нет. Я верно понял? Пока есть только рекомендации допаять на плату конденсаторов. Чтобы что? Тут я запутался, простите. Можно встречное предложение? Не лучше ли посмотреть осциллографом линию OpenTherm? Вдруг там что-то явно не то творится. И конкретно схему сопряжения OpenTherm с esp32 производитель контроллеров делает сам. А esp32 - готовое покупное изделие. И чего в него лезть? OpenTherm ведь работает по прерываниям, если там есть ""шило"", будет глючить обмен со всеми вытекающими. Ну или я что-то сильно не так понял 🤷🏼‍♂",opentherm;sensors;wiring;power;hardware;cluster;curated;curated
30,"Давление измеряет обычный датчик давления, к которому прикручена есп. У меня это вообще через ж сделано - на этом датчике и инвертор висит, и есп, причем датчик сдуру был куплен токовый, 4-20мА, по странным нагугленным советам, что было отдельным гемором","Не совсем так. Как уже писал Mitchel. У котла свой встроенный PID. Когда температура в комнате упала, котел включается. Температура теплоносителя = 25 градусов. Котлу надо ее разогреть до = 70 градусов. Котел включается на минимальной мощности и понимая , что теплоноситель сильно остыл, быстро начинает увеличивать мощность до 100% Через 10 минут теплоноситель прогреется до 70 градусов и котел сначала начнет снижать мощность, а когда даже на минимальной мощности температура достигнет 75 градусов выключит горелку. Но в помещении по-прежнему холодно. На прогрев помещения понадобится 30 - 40 минут. И вот, все это время котел то включает , то выключает горелку. (разогревая теплоноситель до 75, потом остывая до 65 градусов) Такая фигня происходит у тех кто купил котел слишком большой мощности. Я в этом числе.....",sensors;settings;pressure;cluster;curated;curated
31,А на смарттерм можно реализовать реле ?,"Поясните убогому, с чем вы боретесь-то? Константин проводит глубокую аналитическую и практическую работу по замерам помех в линиях питания. Давит помехи. Но у него и так всё нормально работает. С этим БП, шнурком и платой. И эффекта в стабильности работы никакого нет. Я верно понял? Пока есть только рекомендации допаять на плату конденсаторов. Чтобы что? Тут я запутался, простите. Можно встречное предложение? Не лучше ли посмотреть осциллографом линию OpenTherm? Вдруг там что-то явно не то творится. И конкретно схему сопряжения OpenTherm с esp32 производитель контроллеров делает сам. А esp32 - готовое покупное изделие. И чего в него лезть? OpenTherm ведь работает по прерываниям, если там есть ""шило"", будет глючить обмен со всеми вытекающими. Ну или я что-то сильно не так понял 🤷🏼‍♂",opentherm;wiring;power;hardware;cluster;curated;curated
32,А SmartTherm работает?,"Целиком поддерживаю! У меня идея такая. В esp32 организовать массив термостатов для каждой комнаты, чтобы в зависимости от целевой и текущей температуры программа вычисляла заданную температуру теплоносителя. И тогда получается прозрачная логика. Максимальная расчетная из всех термостатов подается на котел, остальные термостаты рулят головками на коллекторе. Все работают по одинаковому алгоритму. Таким образом, всегда минимум один контур будет открыт и насос не будет ""работать на задвижку"". Чисто программное решение, из оборудования только датчики в комнатах и головки на коллекторе. Ну и i2c-шные расширители портов.",sensors;hardware;cluster;curated;curated
33,"А ещё вопрос, может уже не раз повторялся, но я не увидел ответ, есть просто SmartTherm, а есть SmartTherm32, в чём отличие?","Как работает мой одноконтурный baxi с бкн на 24кВт. Да, действительно, он нагревается до 60 (у меня такая стоит) при этом при приближении к температуре заранее сбавляет модуляцию. Когда температура 60-65, котёл сбрасывает модуляцию в 0%, но не выключает горелку. У меня температура начинает падать и он опять поднимает модуляцию. И так, как ты говоришь, на протяжении 30-40 минут. Но он не тактует. По заявлению производителя на моём котле минимальная модуляция от 9кВт и до 24. Соответственно мне надо чуть больше 9кВт. 24кВт нужно именно для нагрева бойлера и тут расчёт не на ваше желание или хотелки. А всё подбирается в зависимости от мощности (теплосъёма) змеевика в бкн. Выбрали маленький котёл, будет греть долго и не будет успевать нагреть воду при большом расходе, фактически на протоке. Выбрали слишком большой котёл, глубины его модуляции не хватит для снижения в режиме СО и будет тактовать.",baxi;hot_water;hardware;cluster;curated;curated
34,"Народ, помогите. Котел Baxi На практике проверил (3 раза) что после отключения панели и подключения контроллера перестаёт работать подача горячей воды. Отопление работает. Так же обратил внимание, сто при установке температуры воды отопления выходная вода больше 48 не нагревалась. При подключение панели вместо контроллера проблемы уходят. Куда копать и что проверять?","Как работает мой одноконтурный baxi с бкн на 24кВт. Да, действительно, он нагревается до 60 (у меня такая стоит) при этом при приближении к температуре заранее сбавляет модуляцию. Когда температура 60-65, котёл сбрасывает модуляцию в 0%, но не выключает горелку. У меня температура начинает падать и он опять поднимает модуляцию. И так, как ты говоришь, на протяжении 30-40 минут. Но он не тактует. По заявлению производителя на моём котле минимальная модуляция от 9кВт и до 24. Соответственно мне надо чуть больше 9кВт. 24кВт нужно именно для нагрева бойлера и тут расчёт не на ваше желание или хотелки. А всё подбирается в зависимости от мощности (теплосъёма) змеевика в бкн. Выбрали маленький котёл, будет греть долго и не будет успевать нагреть воду при большом расходе, фактически на протоке. Выбрали слишком большой котёл, глубины его модуляции не хватит для снижения в режиме СО и будет тактовать.",baxi;wiring;hot_water;cluster;curated;curated
35,"Смотри, что есть на AliExpress! NodeMcu Lua WIFI плата для интернета вещей за 172 ₽ - уже со скидкой -12% <URL>","хрень какая-то.... еще могу посоветовать удалить устройство OpenTherm и еще раз повторить установку. Больше навскидку сказать нечего, надо ручками повторять",opentherm;wifi;cluster;curated;curated
